db_old;nome_old;db_new;nome_new;ambiente
EDL_WAP;OT_WAP_PUNTI_OPEN_DA_BPC_ESTRAZIONE_CE_ALL_VER;;;
EDL_WAP;OT_WAP_PUNTI_OPEN_DA_BPC_ESTRAZIONE_DR_ALL_VER;;;
EDL_WAP;OT_WAP_STANZIAMENTI_COSTI_CONSUMI_ALL_VER;;;
EDL_XE;VW_XE_DBO_TBINSTALLATIONHIGHENERGYCONSUMPTIONS;CURATO;XEGY1_INSTALLAZIONE_HEC_PWR;
EDL_XE;VW_XE_DBO_TBINSTALLATIONINFO;CURATO;XEGY1_SCHEDE_TECNICHE_PWR;
EDL_XE;VW_XE_DBO_TBITEMS;;;
EDL_XE;VW_XE_FCF_REPORT_FATT_INCA;;;
EDL_XE;VW_XE_GAS_TBINSTALLATIONINFO;;;
EDL_XE;VW_XE_DBO_TBINVOICES_ALLEGATO;;;
EDL_XE;VW_XE_GAS_TBINSTALLATIONEXCISECONF;;;
EDL_XE;VW_XE_GAS_TBITEMS;;;
EDL_XE;VW_XE_GAS_TBREMI;;;
EDL_XE;VW_XE_DBO_TBINSTALLATIONEXCISECONF;;;
EDL_XE;VW_XE_GAS_TBINVOICES_ALLEGATO;;;
